kalimat,label
laki usaha lacak perhati lantas remeh perhati yang kasih khusus basic laki bego,1
lambat edan sarap gaul cigax jifla cal licew,1
kadang percaya tuhan jatuh berkalikali kadang tuhan rencana pisah kakak pilih kristen anak ter,0
akunnku mata sipit,0
kaum cebong dongok,0
bani taplak kawan kawan,0
deklarasi pilih kepala daerah aman anti isu bohong warga dukuh sari jabon,0
rewatch aldnoah zero sial karakter utama kena friendzone xd,0
admin belanja poterbaik nak makan ais kepal milo ais kepal horlicks cendol toping doket gerai mertua taipan baby amp romantika bank islam senawang,0
enak ngewe,1
jari ukur nyali bicara xfxfxxf,0
banci kaleng malu nyungsep koe,1
ajar ekonomi mesti jago privatisasi hati orang ironi,0
aktor prabowo lengser perintah jokowi nyata,0
bu guru enak jablay guru sihnkayaknya nikmat pecun guru,1
lawan bicara intelek yang otak kencing onta aku hadis nabi sahih kafir tolak,0
ampas,0
ari bek,0
gantle gantle nama banci,1
mnr bom xfxfxx,0
jarang,0
noob peluang gede,0
joko widodo nilai presiden lemah sejarah indonesia jokowi milik modal dukung politik ketidakmampuan perintah hadap situasi ekonomi,0
ajar camat bilah hilir deklarasi anti isu bohong amp,0
bandara udara internasional kertajati bangun gubernur ahmad heryawan perintah pusat insya allah operasi,0
gubernur presiden rakyat,0
kerja delay melulu setan,1
turut pintu sorga pintu sorga asli pintu hati,0
muncul jelang pilih kepala daerah pilih presiden goreng gosong,0
neneknenek heran cebong bohong,0
islam nusantara produk jil pasar gencar antekxcxb jilnnsementara jil anti arab pro asengnnkata hasyim muzadi,0
habis sahur jam nete x lemas xfxfxaxa,0
kak emak suka sipit tertawa,1
laku jaman now ngentot live blued,1
kak orang jawa orang palembang kakak yang ajar aksara jawa ajar budaya palembang,0
pegawai guardian training mentang gembel kaos flat shoes dijutekin beli kabur matahari,1
xexxdpara bajing luka lady terima ganjar ratus kali lipatxexxdsanji,0
aja tolak berita isu bohong sukses pilih kepala daerah wilayah kota,0
presiden ri jokowi kerja tulus,0
edan fabiano,0
dalam alquran bang mulut orang kafir bejat hina,1
beda wibawa yang wibawa gubernur indonesia allah,0
anjir kali lihat orang bego debat pilih kepala daerah kerja karakter on silvy and agus,1
keanekaragaman budaya suku agama sungguh kaya djarot hadap serta rakercabsu,0
islam kristen mas nusantara mas lihat gereja bandung yang gamelan yang khotbah sundajawa nusantara,0
cipta situasi aman tertib masyarakat jelang pilih kepala daerah konang silaturahmi tokoh masyarakat,0
positif koknsepositif respon masyarakat terhadapn cangkul imporn garam imporn beras imporn jagung imporn tenaga kerja imporn esemka impornnurl,0
sembahyang adopsi tradisi lokal hindunnistilahxcxasembahyangxcxapun lahir tradisi ritusxcxamenyembahhyang tunggal denganxcxashalat sembah all,0
bodohgk larang bawa agamabiar orang islam yang bayar ahok sadar ahok,0
the terbai abai kaum sial otak micin,0
otak tempurung lawan dungu makan,1
berita gerung susah cari mata bibir monyong samping suara nhn kentut politik kotor jaman bini nhn ngedendungu xfxfxxb,0
pinokio umur,0
cerita silat lae xfxfxx kho indonesia liang ie shen tulis,0
benci umat islam,0
